ID_WATER_P,WP_OLDNAME,PLATE_ID,EASTINGX,NORTHINGY,DISTRICT_N,TA_NAME,VILLAGE_SI,WATER_SOUR,PUMP_TYPE,CONDITION,CONSTRUCTI,FUNDS,SERVICES
308_05_196,,,768752.00000,8236748.00000,Mulanje,Nkanda TA,Likhubula Forest,gravity fed standpipe,no pump,functional,1111,Government,Government
308_03_532,,,763791.00000,8225739.00000,Mulanje,Chikumbu TA,Sitolo,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_546,,,762483.00000,8228380.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,functional,1999,Private,Local artisans
308_03_545,,,762382.00000,8228497.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_544,,,762299.00000,8228652.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_543,,,762059.00000,8229088.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_542,,,761790.00000,8229014.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_541,,,761819.00000,8229287.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_540,,,761738.00000,8229421.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,functional,1990,Government,Local artisans
308_03_539,,,761540.00000,8229509.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_538,,,761896.00000,8229390.00000,Mulanje,Chikumbu TA,Ngoma,mechanic borehole,Afridev,functional,2002,Government,SCANDRIL
308_03_537,,,761902.00000,8229404.00000,Mulanje,Chikumbu TA,Ngoma,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_536,,,763826.00000,8228485.00000,Mulanje,Chikumbu TA,Namijingo,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_535,,,763893.00000,8228482.00000,Mulanje,Chikumbu TA,Namijingo,mechanic borehole,Afridev,functional,2002,Government,SCANDRIL
308_03_550,,,762314.00000,8229802.00000,Mulanje,Chikumbu TA,Ngoma,mechanic borehole,Afridev,not functional,1998,Government,CDC
308_05_109,,,762858.00000,8232258.00000,Mulanje,Chikumbu TA,Mwachumu,gravity fed standpipe,no pump,not functional,1979,Government,Government
308_03_534,,,763810.00000,8226624.00000,Mulanje,Chikumbu TA,MJ Mission,mechanic borehole,Afridev,not functional,1999,unknown,Other
308_03_533,MMJ/9/98,,763888.00000,8226644.00000,Mulanje,Chikumbu TA,MJ Mission,mechanic borehole,Afridev,functional,1998,MASAF,Mozagua
308_03_501,SDC/03/1263,,762552.00000,8228050.00000,Mulanje,Chikumbu TA,Namijingo,mechanic borehole,Afridev,functional,2002,Government,SCANDRIL
308_03_502,,,762702.00000,8228101.00000,Mulanje,Chikumbu TA,Namijingo,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_506,,,762604.00000,8227915.00000,Mulanje,Chikumbu TA,Namijingo,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_514,,,763096.00000,8227630.00000,Mulanje,Chikumbu TA,Namijingo,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_519,,,763682.00000,8227808.00000,Mulanje,Chikumbu TA,Namijingo,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_551,RJ 608,,762045.00000,8228950.00000,Mulanje,Chikumbu TA,Mitumbira,mechanic borehole,Afridev,functional,2002,Government,Government
308_03_565,,,761741.00000,8228210.00000,Mulanje,Chikumbu TA,Njema,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_573,,,762017.00000,8228142.00000,Mulanje,Chikumbu TA,Njema,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_571,,,761544.00000,8227279.00000,Mulanje,Chikumbu TA,Njema,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_570,SDC/5/3/31,,761674.00000,8227199.00000,Mulanje,Chikumbu TA,Njema,mechanic borehole,Afridev,functional,2002,Government,SCANDRIL
308_03_569,,,761758.00000,8227750.00000,Mulanje,Chikumbu TA,Njema,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_568,MAS/094,,761699.00000,8227809.00000,Mulanje,Chikumbu TA,Njema,mechanic borehole,Afridev,functional,2000,MASAF,Drill Tech
308_03_547,,,762503.00000,8228424.00000,Mulanje,Chikumbu TA,Ngoma,shallow well with hand pump,Malda,functional,1999,MMH,Local artisans
308_03_552,,,761640.00000,8229497.00000,Mulanje,Chikumbu TA,Mitumbira,mechanic borehole,Afridev,not functional,1998,Government,CDC
308_03_567,,,761434.00000,8227861.00000,Mulanje,Chikumbu TA,Njema,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_566,,,761892.00000,8228001.00000,Mulanje,Chikumbu TA,Njema,gravity fed standpipe,no pump,not functional,1975,Government,Government
308_03_562,,,761380.00000,8228349.00000,Mulanje,Chikumbu TA,Njema,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_563,MAS/093,,761456.00000,8228177.00000,Mulanje,Chikumbu TA,Njema,mechanic borehole,Afridev,not functional,2000,MASAF,Drill Tech
308_03_564,,,761441.00000,8228233.00000,Mulanje,Chikumbu TA,Njema,gravity fed standpipe,no pump,functional,1975,Government,Government
308_03_351,CD/207,,764482.00000,8228687.00000,Mulanje,Chikumbu TA,Gulumba A,mechanic borehole,Afridev,not functional,1998,Government,CHITSIME
308_03_346,,,764300.00000,8228832.00000,Mulanje,Chikumbu TA,Gulumba A,gravity fed standpipe,no pump,not functional,1111,unknown,unknown
308_03_341,,,764783.00000,8228760.00000,Mulanje,Chikumbu TA,Gulumba A,gravity fed standpipe,no pump,not functional,1111,unknown,unknown
308_03_335,,,765600.00000,8228416.00000,Mulanje,Chikumbu TA,Gulumba A,gravity fed standpipe,no pump,functional,1111,unknown,unknown
308_03_334,,,765430.00000,8228081.00000,Mulanje,Chikumbu TA,Gulumba A,gravity fed standpipe,no pump,functional,1111,unknown,unknown
